team_name,phase,count,success_rate,percent_of_total,count_percentile,success_rate_percentile,percent_of_total_percentile
Atlanta United,accelerated_possession,382,0.3821138211382114,0.035354002776492366,0.3333333333333333,0.8,0.5
Atlanta United,attacking_freekick,121,0.7666666666666667,0.011198519204072188,0.2,0.03333333333333333,0.23333333333333334
Atlanta United,attacking_freekick_second_phase,33,0.3939393939393939,0.003054141601110597,0.3,0.9666666666666667,0.3
Atlanta United,attacking_throw_in,107,0.7547169811320755,0.00990282276723739,0.06666666666666667,0.9,0.03333333333333333
Atlanta United,buildup,1281,0.6569407603890363,0.11855622397038408,0.3,0.8666666666666667,0.4666666666666667
Atlanta United,corner,172,0.20588235294117646,0.015918556223970384,0.6,0.6,0.6666666666666666
Atlanta United,corner_second_phase,83,0.30120481927710846,0.007681628875520592,0.5833333333333334,0.38333333333333336,0.7
Atlanta United,counterattack,42,0.40476190476190477,0.0038870893105043963,0.5,0.4666666666666667,0.4666666666666667
Atlanta United,finishing,625,0.3470790378006873,0.05784359093012494,0.5666666666666667,0.26666666666666666,0.6666666666666666
Atlanta United,high_transition,310,0.40397350993377484,0.02869042110134197,0.43333333333333335,0.9333333333333333,0.4666666666666667
Atlanta United,kickoff,99,0.5656565656565656,0.00916242480333179,0.16666666666666666,0.7333333333333333,0.23333333333333334
Atlanta United,long_goalkick,103,0.35,0.009532623785284591,0.7,0.16666666666666666,0.7666666666666667
Atlanta United,penalty,6,0.0,0.0005552984729291995,0.6551724137931034,0.5172413793103449,0.6551724137931034
Atlanta United,possession_freekick,300,0.6476510067114094,0.027764923646459973,0.26666666666666666,0.6,0.36666666666666664
Atlanta United,possession_throw_in,389,0.47757255936675463,0.03600185099490976,0.3,0.4,0.3
Atlanta United,progression,1860,0.4651315789473684,0.17214252660805182,0.5,0.6333333333333333,0.6
Atlanta United,securing_possession,845,0.5353925353925354,0.07820453493752892,0.13333333333333333,0.2,0.13333333333333333
Atlanta United,short_goalkick,164,0.49382716049382713,0.015178158260064785,0.7333333333333333,0.2,0.6333333333333333
Austin FC,accelerated_possession,416,0.40298507462686567,0.03861147206237238,0.7666666666666667,0.8666666666666667,0.8666666666666667
Austin FC,attacking_freekick,134,0.8571428571428571,0.012437349173937256,0.43333333333333335,0.8166666666666667,0.5
Austin FC,attacking_freekick_second_phase,39,0.2564102564102564,0.0036198255058474105,0.6666666666666666,0.5,0.7
Austin FC,attacking_throw_in,174,0.6589595375722543,0.016149990718396137,0.9333333333333333,0.26666666666666666,0.9
Austin FC,buildup,1257,0.6718480138169257,0.11666976053462039,0.23333333333333334,0.9,0.3333333333333333
