"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","G+A","xG+xA","PA","xPA"
"","Lionel Messi","MIA","2025","ST","2720","157","71","29","24.08","3.17","4.92","71","16","13.13","2.87","45","37.21","9.67","11.81"
"","Dénis Bouanga","LAFC","2025","W","2964","142","72","24","23.63","-0.65","0.37","46","7","8.49","-1.49","31","32.12","10.94","13.90"
"","Sam Surridge","NSH","2025","ST","3266","108","54","24","26.75","0.32","-2.75","26","3","4.70","-1.70","27","31.45","10.23","15.15"
"","Hany Mukhtar","NSH","2025","ST","3340","123","63","16","16.91","2.69","-0.91","89","8","10.85","-2.85","24","27.76","5.80","9.01"
"","Anders Dreyer","SD","2025","W","3415","104","49","19","16.53","1.26","2.47","81","16","10.97","5.03","35","27.50","6.92","10.16"
"","Hugo Cuypers","CHI","2025","ST","3118","83","43","17","22.09","-2.76","-5.09","30","2","4.25","-2.25","19","26.34","6.18","11.09"
"","Alonso Martínez","NYC","2025","ST","2745","102","47","17","22.11","-5.80","-5.11","19","1","1.87","-0.87","18","23.97","7.06","11.42"
"","Rafael Navarro","COL","2025","ST","2974","88","34","12","16.81","-2.33","-4.81","29","3","6.17","-3.17","15","22.99","5.94","10.31"
"","Djordje Mihailovic","TOR, COL","2025","AM","3263","65","28","13","11.80","0.34","1.20","80","7","11.03","-4.03","20","22.82","8.49","7.78"
"","Luis Suárez","MIA","2025","ST","2535","80","30","10","13.83","-2.88","-3.83","47","9","8.65","0.35","19","22.48","2.30","6.67"
"","Martín Ojeda","ORL","2025","ST","2972","105","41","16","12.86","-3.13","3.14","94","9","9.48","-0.48","25","22.34","6.03","7.47"
"","Prince Owusu","MTL","2025","ST","3120","83","39","13","17.64","-2.66","-4.64","31","3","4.24","-1.24","16","21.88","7.48","10.16"
"","Petar Musa","FCD","2025","ST","2585","77","33","18","14.67","0.98","3.33","30","6","5.00","1.00","24","19.67","11.71","8.78"
"","Cristian Arango","SJE","2025","ST","2839","124","42","13","15.96","-3.22","-2.96","27","3","3.63","-0.63","16","19.58","6.58","9.19"
"","Marcel Hartel","STL","2025","AM","3409","75","27","9","7.77","1.87","1.23","97","4","10.26","-6.26","13","18.03","4.33","4.91"
"","Evander","CIN","2025","AM","3046","114","52","18","8.43","2.26","9.57","74","13","9.54","3.46","31","17.97","6.68","3.93"
"","Carles Gil","NER","2025","AM","3430","77","30","10","7.55","0.84","2.45","100","9","10.41","-1.41","19","17.97","7.01","5.49"
"","Eric Maxim Choupo-Moting","NYRB","2025","ST","3088","59","36","17","13.89","3.17","3.11","36","3","3.80","-0.80","20","17.69","9.41","8.75"
"","Cristian Espinoza","SJE","2025","FB","3017","44","16","4","3.91","-0.41","0.09","117","8","13.50","-5.50","12","17.42","1.76","1.89"
"","Diego Rossi","CLB","2025","AM","2756","94","44","16","12.42","1.72","3.58","34","3","4.82","-1.82","19","17.24","7.61","7.56"
"","Emil Forsberg","NYRB","2025","AM","3175","66","24","11","9.53","0.26","1.47","50","7","7.57","-0.57","18","17.10","5.37","6.32"
"","Brian White","VAN","2025","ST","1855","54","30","16","15.49","0.67","0.51","10","1","1.28","-0.28","17","16.77","9.03","9.84"
"","Dejan Joveljic","SKC","2025","ST","3090","69","41","18","14.20","2.47","3.80","30","2","2.56","-0.56","20","16.76","10.19","7.28"
"","Albert Rusnák","SEA","2025","AM","2400","60","27","11","8.65","0.45","2.35","78","7","8.03","-1.03","18","16.68","4.14","4.78"
"","Christian Benteke","DCU","2025","ST","2092","78","36","9","14.32","-0.59","-5.32","17","3","2.33","0.67","12","16.65","5.35","8.63"
"","Kévin Denkey","CIN","2025","ST","2505","77","36","15","13.80","-0.51","1.20","24","1","2.64","-1.64","16","16.44","6.62","7.19"
"","Philip Zinckernagel","CHI","2025","W","2762","74","30","15","8.59","1.03","6.41","64","12","7.82","4.18","27","16.40","6.95","5.06"
"","Pep Biel","CLT","2025","AM","2203","55","23","10","7.62","0.79","2.38","47","11","8.51","2.49","21","16.13","4.30","4.01"
"","João Klauss","STL","2025","ST","2695","100","33","10","12.01","-2.46","-2.01","32","2","4.10","-2.10","12","16.11","7.64","7.93"
"","Hirving Lozano","SD","2025","W","2033","91","27","9","11.26","-1.05","-2.26","35","8","4.62","3.38","17","15.88","4.84","7.01"
"","Danny Musovski","SEA","2025","ST","1745","54","26","14","14.79","-2.71","-0.79","9","4","1.04","2.96","18","15.83","4.33","7.27"
"","Tai Baribo","PHI","2025","ST","2055","55","23","16","13.90","0.78","2.10","19","2","1.49","0.51","18","15.39","5.83","6.64"
"","Gabriel Pec","LAG","2025","W","2764","110","44","7","10.62","-0.95","-3.62","22","3","4.71","-1.71","10","15.33","3.90","6.47"
"","Tani Oluwaseyi","MIN","2025","ST","2049","62","28","10","10.82","-0.65","-0.82","22","7","4.32","2.68","17","15.14","3.69","5.01"
"","Marco Pašalić","ORL","2025","W","2802","102","42","12","9.94","0.23","2.06","41","4","5.19","-1.19","16","15.13","4.63","5.79"
"","Josef Martínez","SJE","2025","ST","2111","55","36","14","13.61","3.68","0.39","17","2","1.39","0.61","16","15.01","8.70","7.92"
"","Luis Muriel","ORL","2025","ST","2330","77","29","9","8.67","-2.31","0.33","44","5","6.10","-1.10","14","14.77","4.44","5.42"
"","Ezequiel Ponce","HOU","2025","ST","2989","81","24","10","13.59","-4.68","-3.59","11","0","1.13","-1.13","10","14.71","5.47","9.71"
"","Miguel Almirón","ATL","2025","W","3016","68","23","6","10.38","-2.06","-4.38","42","4","4.29","-0.29","10","14.67","3.67","7.07"
"","Bruno Damiani","PHI","2025","ST","2257","73","34","7","12.06","1.53","-5.06","27","1","2.43","-1.43","8","14.49","1.87","6.46"
"","Dániel Gazdag","CLB, PHI","2025","W","2791","48","20","6","10.63","-1.17","-4.63","30","5","3.66","1.34","11","14.30","3.82","7.87"
"","Kelvin Yeboah","MIN","2025","ST","2266","62","32","9","12.89","0.62","-3.89","13","0","1.08","-1.08","9","13.97","4.50","6.87"
"","Idan Toklomati","CLT","2025","ST","2041","42","21","11","10.63","1.13","0.37","20","3","3.11","-0.11","14","13.73","5.29","5.22"
"","Brian Gutiérrez","CHI","2025","CM","2289","68","32","9","8.02","-0.08","0.98","48","3","5.21","-2.21","12","13.23","2.67","4.02"
"","Joaquín Pereyra","MIN","2025","CM","2820","62","26","6","5.57","-1.78","0.43","70","7","7.64","-0.64","13","13.21","1.95","3.32"
"","Tadeo Allende","MIA","2025","W","2352","52","27","11","10.43","1.90","0.57","20","1","2.27","-1.27","12","12.70","6.24","5.78"
"","Wilfried Zaha","CLT","2025","W","3057","53","28","10","8.17","2.71","1.83","37","5","4.47","0.53","15","12.64","6.52","4.35"
"","Emmanuel Latte Lath","ATL","2025","ST","2441","58","18","7","10.93","-3.29","-3.93","19","0","1.65","-1.65","7","12.57","5.10","8.21"
"","Alex Freeman","ORL","2025","FB","2776","46","15","6","7.23","-2.81","-1.23","43","3","4.96","-1.96","9","12.19","3.92","5.13"
"","Max Arfsten","CLB","2025","FB","2845","46","16","4","5.53","-1.22","-1.53","43","5","6.65","-1.65","9","12.18","2.98","4.36"
"","Joseph Paintsil","LAG","2025","W","2213","61","32","10","10.15","-0.18","-0.15","20","2","1.99","0.01","12","12.15","4.60","5.47"
"","Myrto Uzuni","ATX","2025","ST","2302","54","24","6","9.46","0.45","-3.46","19","3","2.56","0.44","9","12.01","2.43","5.58"
"","Jack McGlynn","HOU","2025","W","2582","58","23","6","3.90","0.25","2.10","84","6","7.87","-1.87","12","11.77","5.48","2.71"
"","Jonathan Bamba","CHI","2025","W","2727","57","24","5","6.38","-0.03","-1.38","47","3","5.36","-2.36","8","11.73","2.47","4.48"
"","Kai Wagner","PHI","2025","FB","3120","17","5","2","0.63","0.60","1.37","93","9","10.82","-1.82","11","11.45","0.25","0.28"
"","Diego Luna","RSL","2025","AM","2477","54","19","9","7.71","-1.32","1.29","40","3","3.60","-0.60","12","11.31","4.69","4.92"
"","Liel Abada","CLT","2025","W","1645","44","16","5","7.15","-1.88","-2.15","27","1","4.11","-3.11","6","11.26","3.25","3.78"
"","Antony","POR","2025","W","2430","63","28","7","8.06","-0.07","-1.06","26","5","2.86","2.14","12","10.92","3.26","5.94"
"","Aleksey Miranchuk","ATL","2025","AM","3075","66","21","6","5.89","0.39","0.11","45","2","4.89","-2.89","8","10.77","6.55","4.66"
"","Owen Wolff","ATX","2025","W","2825","30","9","7","3.91","-0.91","3.09","63","7","6.86","0.14","14","10.77","3.78","2.35"
"","Luciano Acosta","FCD","2025","AM","1912","30","14","5","5.33","0.02","-0.33","41","1","5.37","-4.37","6","10.70","2.41","3.57"
"","Brandon Vázquez","ATX","2025","ST","1734","54","23","5","9.87","-2.47","-4.87","8","0","0.83","-0.83","5","10.70","3.14","6.83"
"","David Da Costa","POR","2025","AM","2764","45","19","4","4.31","-0.39","-0.31","58","6","6.38","-0.39","10","10.69","1.70","2.50"
"","Maxi Moralez","NYC","2025","AM","3008","30","6","2","3.21","-2.32","-1.21","62","6","7.44","-1.44","8","10.65","0.76","1.61"
"","Simon Becher","STL","2025","W","1472","43","19","3","8.72","-1.64","-5.72","13","1","1.74","-0.74","4","10.47","0.21","5.19"
"","Gabriel Pirani","DCU","2025","AM","2082","59","17","7","5.87","0.13","1.13","35","3","4.53","-1.53","10","10.39","6.64","3.68"
"","Felipe Mora","POR","2025","ST","1838","37","16","5","8.73","-2.31","-3.73","13","2","1.60","0.40","7","10.33","2.48","5.30"
"","Quinn Sullivan","PHI","2025","W","2155","57","18","2","4.49","0.10","-2.49","43","7","5.83","1.17","9","10.33","0.98","1.80"
"","Diogo Gonçalves","RSL","2025","W","2437","63","22","4","5.43","-0.97","-1.43","43","4","4.86","-0.86","8","10.29","1.37","3.77"
"","Mikael Uhre","PHI","2025","ST","1489","43","16","6","5.73","-1.85","0.27","22","6","4.53","1.47","12","10.26","1.37","2.81"
"","Hannes Wolf","NYC","2025","W","2901","61","21","11","6.90","1.31","4.10","34","5","3.35","1.65","16","10.25","6.49","4.32"
"","Sebastian Berhalter","VAN","2025","CM","2598","54","18","4","2.88","2.18","1.12","73","10","7.33","2.67","14","10.21","0.65","1.81"
"","Jacen Russell-Rowe","CLB","2025","ST","1912","48","21","7","6.66","2.16","0.34","23","1","3.42","-2.42","8","10.07","2.64","3.81"
"","Dante Sealy","MTL","2025","W","2689","58","22","9","6.22","1.03","2.78","36","1","3.82","-2.82","10","10.03","4.16","3.49"
"","Jordi Alba","MIA","2025","FB","2868","19","9","6","2.60","2.77","3.40","56","11","7.36","3.64","17","9.96","2.03","1.03"
"","Marco Reus","LAG","2025","AM","1640","28","11","5","4.28","0.63","0.72","44","8","5.63","2.37","13","9.91","4.44","3.45"
"","Emmanuel Sabbi","VAN","2025","W","1989","55","16","7","8.03","-2.42","-1.03","13","3","1.76","1.24","10","9.78","2.14","3.97"
"","Paul Rothrock","SEA","2025","W","2373","36","12","4","4.56","-1.37","-0.56","31","5","5.12","-0.12","9","9.68","1.57","2.84"
"","Julián Fernández","NYC","2025","W","1598","38","10","3","3.30","-0.40","-0.30","42","5","6.21","-1.22","8","9.52","1.41","1.70"
"","Jesús Ferreira","SEA","2025","W","2382","38","18","4","6.19","0.43","-2.19","34","3","3.29","-0.29","7","9.49","1.59","3.12"
"","Cole Bassett","COL","2025","CM","2415","43","15","3","6.15","-1.71","-3.15","29","3","3.32","-0.32","6","9.47","1.86","4.64"
"","Saba Lobjanidze","ATL","2025","W","2141","38","12","0","4.37","-2.36","-4.37","35","4","4.99","-0.99","4","9.36","0.00","3.64"
