"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","PHI","2025","34","525","335","56","35","21","61.54","44.17","17.37","3.63","66","60.04"
"","MIA","2025","34","455","397","81","54","27","69.96","53.10","16.86","10.14","65","57.60"
"","CIN","2025","34","467","462","52","38","14","48.95","56.76","-7.80","21.80","65","42.48"
"","VAN","2025","34","490","354","65","38","27","68.01","41.82","26.19","0.81","63","61.05"
"","SD","2025","34","447","377","64","39","25","57.61","51.22","6.40","18.60","63","52.67"
"","LAFC","2025","34","471","357","65","38","27","64.76","39.89","24.88","2.12","60","63.59"
"","CLT","2025","34","358","507","54","46","8","52.97","59.78","-6.81","14.81","59","43.02"
"","MIN","2025","34","409","467","52","36","16","52.14","51.32","0.82","15.18","58","48.71"
"","NYC","2025","34","426","412","49","40","9","52.28","48.95","3.33","5.67","56","48.54"
"","SEA","2025","34","477","403","56","44","12","59.39","46.65","12.75","-0.75","55","54.91"
"","NSH","2025","34","464","373","57","44","13","66.68","45.58","21.11","-8.11","54","59.53"
"","CLB","2025","34","445","344","52","50","2","55.83","50.24","5.59","-3.59","54","51.43"
"","ORL","2025","34","551","445","63","50","13","65.80","49.08","16.73","-3.73","53","57.91"
"","CHI","2025","34","464","461","67","57","10","61.66","59.42","2.24","7.76","53","50.71"
"","ATX","2025","34","378","468","35","43","-8","44.33","52.10","-7.77","-0.23","47","42.89"
"","FCD","2025","34","366","500","51","54","-3","48.88","54.93","-6.05","3.05","44","43.34"
"","POR","2025","34","413","463","37","47","-10","45.25","57.33","-12.08","2.08","44","38.12"
"","NYRB","2025","34","394","387","46","45","1","48.78","53.66","-4.88","5.88","43","43.00"
"","SJE","2025","34","524","424","58","61","-3","64.73","54.89","9.84","-12.84","41","53.30"
"","COL","2025","34","407","514","43","52","-9","59.73","63.31","-3.58","-5.42","41","44.85"
"","RSL","2025","34","487","455","35","47","-12","47.67","59.58","-11.91","-0.09","41","41.66"
"","HOU","2025","34","417","410","41","55","-14","46.19","49.49","-3.30","-10.70","37","44.14"
"","NER","2025","34","411","498","40","50","-10","45.03","59.00","-13.96","3.96","36","37.92"
"","TOR","2025","34","337","427","33","44","-11","35.77","50.39","-14.62","3.62","32","36.91"
"","STL","2025","34","485","527","43","56","-13","55.86","61.59","-5.72","-7.28","32","42.99"
"","LAG","2025","34","412","454","46","63","-17","48.94","59.63","-10.69","-6.31","30","41.23"
"","MTL","2025","34","387","450","34","60","-26","44.98","55.73","-10.75","-15.25","28","39.48"
"","SKC","2025","34","397","491","42","68","-26","42.55","70.69","-28.14","2.14","28","31.96"
"","ATL","2025","34","395","426","34","63","-29","48.80","54.02","-5.21","-23.79","28","43.15"
"","DCU","2025","34","371","442","30","64","-34","43.54","54.35","-10.80","-23.20","26","40.49"
